chr	start	end	geneID	geneSymbol	symbol	NLMeanCnt	NLCountValid	NLadjPval	enrichSig	SigPeakValue	ovSig
chr10	73358255	73360754	NM_001350933	CFAP70	promoter_10000	2.06754404584346	5	0	TRUE	NA	NA
chr10	73493751	73496250	NR_132103	PPP3CB-AS1	promoter_10012	1.9228991417002	8	0.00654755632446035	TRUE	NA	NA
chr10	73493751	73496250	NR_132104	PPP3CB-AS1	promoter_10013	1.9228991417002	8	0	TRUE	NA	NA
chr10	73625482	73627981	NM_001378208	USP54	promoter_10015	2.0827515010195	7	0	TRUE	4.64411952525398	TRUE
chr10	73625482	73627981	NM_001350995	USP54	promoter_10022	NA	NA	NA	NA	4.64411952525398	TRUE
chr10	73625482	73627981	NM_152586	USP54	promoter_10025	2.0827515010195	7	0	TRUE	4.64411952525398	TRUE
chr1	23824960	23827459	NM_001166059	HMGCL	promoter_1004	2.95318588812502	12	0	TRUE	5.62585669491562	TRUE
chr10	73783605	73786104	NR_160292	ZSWIM8	promoter_10041	2.22673520546654	5	0	TRUE	NA	NA
chr10	73783605	73786104	NM_001367799	ZSWIM8	promoter_10042	2.22673520546654	5	0	TRUE	NA	NA
chr10	73783623	73786122	NM_015037	ZSWIM8	promoter_10045	2.22673520546654	5	0	TRUE	NA	NA
chr10	73800900	73803399	NR_038357	ZSWIM8-AS1	promoter_10046	2.19429138835332	7	0	TRUE	NA	NA
chr1	23824930	23827429	NM_000191	HMGCL	promoter_1005	2.97333603035471	12	0	TRUE	5.62585669491562	TRUE
chr1	23957827	23960326	NM_017761	PNRC2	promoter_1009	2.68703047168488	10	0	TRUE	NA	NA
chr1	23979828	23982327	NM_054016	SRSF10	promoter_1010	2.12457202285671	6	0	TRUE	NA	NA
chr1	23979828	23982327	NM_006625	SRSF10	promoter_1011	2.12457202285671	6	0	TRUE	NA	NA
chr10	74174762	74177261	NM_001202449	ADK	promoter_10117	2.02419434347107	6	0	TRUE	5.11506029309874	TRUE
chr10	74174762	74177261	NM_001123	ADK	promoter_10118	2.02419434347107	6	0	TRUE	5.11506029309874	TRUE
chr10	74174762	74177261	NM_001369124	ADK	promoter_10119	2.02419434347107	6	0	TRUE	5.11506029309874	TRUE
chr1	23979828	23982327	NM_001191009	SRSF10	promoter_1012	2.12457202285671	6	0	TRUE	NA	NA
chr10	74823254	74825753	NM_001370139	KAT6B	promoter_10121	2.03424181726119	7	0	TRUE	NA	NA
chr10	74823478	74825977	NM_001370133	KAT6B	promoter_10122	2.21255912881174	7	0	TRUE	NA	NA
chr10	74823478	74825977	NM_001370134	KAT6B	promoter_10123	2.21255912881174	7	0	TRUE	NA	NA
chr10	74823478	74825977	NM_001370143	KAT6B	promoter_10124	2.21255912881174	7	0	TRUE	NA	NA
chr10	74823478	74825977	NM_001370141	KAT6B	promoter_10125	2.21255912881174	7	0	TRUE	NA	NA
chr10	74823478	74825977	NM_001370140	KAT6B	promoter_10126	2.21255912881174	7	0	TRUE	NA	NA
chr10	74823478	74825977	NM_001370138	KAT6B	promoter_10127	2.21255912881174	7	0	TRUE	NA	NA
chr10	74823478	74825977	NM_001370136	KAT6B	promoter_10128	2.21255912881174	7	0	TRUE	NA	NA
chr1	23979828	23982327	NR_034035	SRSF10	promoter_1013	2.12457202285671	6	0	TRUE	NA	NA
chr1	23979828	23982327	NM_001191006	SRSF10	promoter_1014	2.12457202285671	6	0	TRUE	NA	NA
chr1	23979828	23982327	NM_001191005	SRSF10	promoter_1015	2.12457202285671	6	0	TRUE	NA	NA
chr10	75208153	75210652	NM_001184823	VDAC2	promoter_10150	2.65199782192002	6	0	TRUE	4.69730120883518	TRUE
chr10	75208153	75210652	NM_001184783	VDAC2	promoter_10151	2.65199782192002	6	0	TRUE	4.69730120883518	TRUE
chr10	75208153	75210652	NM_001324089	VDAC2	promoter_10152	2.65199782192002	6	0	TRUE	4.69730120883518	TRUE
chr10	75208153	75210652	NM_001324090	VDAC2	promoter_10153	2.65199782192002	6	0	TRUE	4.69730120883518	TRUE
chr10	75208153	75210652	NM_001324088	VDAC2	promoter_10154	2.65199782192002	6	0	TRUE	4.69730120883518	TRUE
chr10	75208153	75210652	NM_001324087	VDAC2	promoter_10155	2.65199782192002	6	0	TRUE	4.69730120883518	TRUE
chr10	75208153	75210652	NM_003375	VDAC2	promoter_10156	2.65199782192002	6	0	TRUE	4.69730120883518	TRUE
chr10	75235458	75237957	NM_144589	COMTD1	promoter_10157	2.69894021120484	6	0	TRUE	NA	NA
chr1	23979828	23982327	NM_001300936	SRSF10	promoter_1016	2.12457202285671	6	0	TRUE	NA	NA
chr10	75399527	75402026	NR_024421	ZNF503-AS2	promoter_10164	NA	NA	NA	NA	6.77156744946814	TRUE
chr1	23979828	23982327	NM_001300937	SRSF10	promoter_1017	2.12457202285671	6	0	TRUE	NA	NA
chr10	75407156	75409655	NR_110304	LOC101929234	promoter_10170	3.23042770432853	8	0	TRUE	NA	NA
chr10	75645508	75648007	NR_131178	LRMDA	promoter_10173	2.95734636199229	15	0	TRUE	6.14799169275511	TRUE
chr1	23979828	23982327	NM_001191007	SRSF10	promoter_1018	2.12457202285671	6	0	TRUE	NA	NA
chr10	78031759	78034258	NM_001026	RPS24	promoter_10199	3.28759757868552	11	0	TRUE	NA	NA
chr1	1312067	1314566	NR_106785	MIR6727	promoter_102	2.3454679548944	6	0	TRUE	NA	NA
chr1	24142641	24145140	NM_021258	IL22RA1	promoter_1020	1.7182176838036	5	0.00346708307307933	TRUE	NA	NA
chr10	78031759	78034258	NM_001142283	RPS24	promoter_10200	3.28759757868552	11	0	TRUE	NA	NA
chr10	78031759	78034258	NM_001142284	RPS24	promoter_10201	3.28759757868552	11	0	TRUE	NA	NA
chr10	78031759	78034258	NM_001142282	RPS24	promoter_10202	3.28759757868552	11	0	TRUE	NA	NA
chr10	78031862	78034361	NM_001142285	RPS24	promoter_10203	3.331091674868	11	0	TRUE	NA	NA
chr10	78031862	78034361	NM_033022	RPS24	promoter_10204	3.331091674868	11	0	TRUE	NA	NA
chr1	24186790	24189289	NM_173064	IFNLR1	promoter_1021	2.28200989851061	10	0	TRUE	NA	NA
chr10	79559908	79562407	NM_001098668	SFTPA2	promoter_10216	1.83707309071502	5	0.00346708307307933	TRUE	NA	NA
chr10	79559908	79562407	NM_001320813	SFTPA2	promoter_10218	1.83707309071502	5	0	TRUE	NA	NA
chr1	24186790	24189289	NM_170743	IFNLR1	promoter_1022	2.28200989851061	10	0	TRUE	NA	NA
chr10	79826095	79828594	NR_120613	NUTM2B-AS1	promoter_10227	2.50404858866679	8	0	TRUE	5.50230193948895	TRUE
chr10	79826095	79828594	NR_120611	NUTM2B-AS1	promoter_10229	2.50404858866679	8	0	TRUE	5.50230193948895	TRUE
chr1	24186790	24189289	NM_173065	IFNLR1	promoter_1023	2.28200989851061	10	0	TRUE	NA	NA
chr10	79826095	79828594	NR_120612	NUTM2B-AS1	promoter_10230	2.50404858866679	8	0	TRUE	5.50230193948895	TRUE
chr10	79823901	79826400	NR_029407	LOC642361	promoter_10231	NA	NA	NA	NA	4.72843216368435	TRUE
chr10	79902897	79905396	NR_033857	BMS1P21	promoter_10233	NA	NA	NA	NA	4.02420623875173	TRUE
chr10	80078694	80081193	NR_027428	TMEM254-AS1	promoter_10236	1.59864711543554	5	0	TRUE	NA	NA
chr10	80078694	80081193	NR_027429	TMEM254-AS1	promoter_10237	1.59864711543554	5	0	TRUE	NA	NA
chr10	80078694	80081193	NR_027430	TMEM254-AS1	promoter_10238	1.59864711543554	5	0	TRUE	NA	NA
chr10	80078694	80081193	NR_027431	TMEM254-AS1	promoter_10239	1.59864711543554	5	0.00346708307307933	TRUE	NA	NA
chr10	80078694	80081193	NR_027432	TMEM254-AS1	promoter_10240	1.59864711543554	5	0	TRUE	NA	NA
chr10	80205038	80207537	NM_001157	ANXA11	promoter_10257	2.54258310240868	10	0	TRUE	5.09519329114298	TRUE
chr10	80205038	80207537	NM_145869	ANXA11	promoter_10258	2.54258310240868	10	0	TRUE	5.09519329114298	TRUE
