chr	start	end	geneID	geneSymbol	symbol	TCMeanCnt	TCCountValid	TCadjPval	enrichSig	SigPeakValue	ovSig
chr10	75645508	75648007	NR_131178	LRMDA	promoter_10173	1.96529414802465	5	0	TRUE		
chr10	80411818	80414317	NM_001243778	PRXL2A	promoter_10280	1.99198339152	7	0	TRUE		
chr10	80411832	80414331	NM_001243782	PRXL2A	promoter_10281	1.99198339152	7	0	TRUE		
chr10	95440681	95443180	NM_001034955	SORBS1	promoter_10593	2.18856836271917	5	0	TRUE		
chr10	95440681	95443180	NM_001034956	SORBS1	promoter_10615	2.18856836271917	5	0	TRUE		
chr10	95440681	95443180	NM_001290296	SORBS1	promoter_10618	2.18856836271917	5	0	TRUE		
chr10	95440681	95443180	NM_001034954	SORBS1	promoter_10627	2.18856836271917	5	0	TRUE		
chr10	97317270	97319769	NM_005479	FRAT1	promoter_10718	2.36371056492043	5	0	TRUE		
chr10	100371575	100374074	NR_026762	OLMALINC	promoter_10883	2.08947127918659	6	0	TRUE		
chr10	102114503	102117002	NM_003893	LDB1	promoter_10977	2.12302887399369	6	0	TRUE		
chr10	103744778	103747277	NR_038940	SH3PXD2A-AS1	promoter_11091	2.38697191552734	5	0	TRUE		
chr10	109923012	109925511	NM_001324131	XPNPEP1	promoter_11131	2.18177727542175	7	0	TRUE		
chr10	109922747	109925246	NM_001324136	XPNPEP1	promoter_11132	2.11569451790043	7	0	TRUE		
chr10	109923012	109925511	NM_001324128	XPNPEP1	promoter_11133	2.18177727542175	7	0	TRUE		
chr10	109923012	109925511	NM_001324135	XPNPEP1	promoter_11134	2.18177727542175	7	0	TRUE		
chr10	109923012	109925511	NM_001324134	XPNPEP1	promoter_11135	2.18177727542175	7	0	TRUE		
chr10	109923054	109925553	NM_001167604	XPNPEP1	promoter_11136	2.23615383375155	7	0	TRUE		
chr10	109923012	109925511	NM_001324132	XPNPEP1	promoter_11137	2.18177727542175	7	0	TRUE		
chr10	109923012	109925511	NM_001324133	XPNPEP1	promoter_11138	2.18177727542175	7	0	TRUE		
chr10	109923012	109925511	NM_020383	XPNPEP1	promoter_11139	2.18177727542175	7	0	TRUE		
chr1	24918917	24921416	NR_106789	MIR6731	promoter_1120	1.8438516460171	5	0	TRUE		
chr10	113043354	113045853	NR_132769	SNORA87	promoter_11221	2.55488728870402	7	0	TRUE		
chr10	113124632	113127131	NM_001349871	TCF7L2	promoter_11222	2.1564526665752	5	0	TRUE		
chr10	113127270	113129769	NM_001349870	TCF7L2	promoter_11223	2.78390857880847	14	0	TRUE		
chr10	119102112	119104611	NM_001303111	DENND10	promoter_11378	2.3595148030092	6	0	TRUE		
chr10	119102112	119104611	NM_001303112	DENND10	promoter_11379	2.3595148030092	6	0	TRUE		
chr10	119102112	119104611	NM_001303113	DENND10	promoter_11380	2.3595148030092	6	0	TRUE		
chr10	119102112	119104611	NR_130122	DENND10	promoter_11381	2.3595148030092	6	0	TRUE		
chr10	119102112	119104611	NM_207009	DENND10	promoter_11382	2.3595148030092	6	0	TRUE		
chr10	120849361	120851860	NM_018117	WDR11	promoter_11425	2.11375277188892	6	0	TRUE		
chr10	122384068	122386567	NM_001195608	PLEKHA1	promoter_11492	2.34653330972414	6	0	TRUE		
chr10	125032371	125034870	NR_036178	MIR4296	promoter_11569	2.00574547094489	5	0	TRUE		
chr1	25858959	25861458	NM_001287490	AUNIP	promoter_1174	2.24536842566536	5	0	TRUE		
