chr	start	end	geneID	geneSymbol	symbol	NCMeanCnt	NCCountValid	NCadjPval	enrichSig	SigPeakValue	ovSig
chr1	28365	30864	NR_036268	MIR1302-11	promoter_10	2.11677995994054	8	0	TRUE	4.67754652073099	TRUE
chr10	73493751	73496250	NR_132103	PPP3CB-AS1	promoter_10012					5.255376748813	TRUE
chr10	73493751	73496250	NR_132104	PPP3CB-AS1	promoter_10013					5.255376748813	TRUE
chr10	73625482	73627981	NM_001378208	USP54	promoter_10015	1.99195298762072	8	0	TRUE		
chr10	73625482	73627981	NM_152586	USP54	promoter_10025	1.99195298762072	8	0.00968425541813671	TRUE		
chr10	73655530	73658029	NM_001114133	SYNPO2L	promoter_10029	1.85359528584687	8	0	TRUE		
chr10	73730007	73732506	NR_160425	BMS1P4-AGAP5	promoter_10030	2.14554519593346	9	0	TRUE		
chr10	73730007	73732506	NR_160426	BMS1P4-AGAP5	promoter_10031	2.14554519593346	9	0.00968425541813671	TRUE		
chr10	73730007	73732506	NR_160427	BMS1P4-AGAP5	promoter_10032	2.14554519593346	9	0.00968425541813671	TRUE		
chr10	73730015	73732514	NR_026592	BMS1P4	promoter_10034	2.25980990150371	9	0.00351257171785353	TRUE		
chr1	23824960	23827459	NM_001166059	HMGCL	promoter_1004	2.38622037500598	9	0	TRUE	5.34278215568558	TRUE
chr10	73800900	73803399	NR_038357	ZSWIM8-AS1	promoter_10046	1.84296082290939	5	0	TRUE		
chr10	73811321	73813820	NR_160743	NDST2	promoter_10049	2.42567107458683	6	0	TRUE		
chr1	23824930	23827429	NM_000191	HMGCL	promoter_1005	2.44381951818903	9	0	TRUE	5.34278215568558	TRUE
chr10	73811321	73813820	NR_160744	NDST2	promoter_10050	2.42567107458683	6	0	TRUE		
chr10	73811321	73813820	NR_160745	NDST2	promoter_10051	2.42567107458683	6	0	TRUE		
chr1	23867791	23870290	NM_000147	FUCA1	promoter_1006	2.30168415401718	8	0	TRUE	4.46195772799874	TRUE
chr1	23957827	23960326	NM_017761	PNRC2	promoter_1009					4.43704413804771	TRUE
chr10	74823254	74825753	NM_001370139	KAT6B	promoter_10121	2.09998782998571	5	0	TRUE	4.51687156542115	TRUE
chr10	74823478	74825977	NM_001370133	KAT6B	promoter_10122	2.10684113226023	5	0.00968425541813671	TRUE	4.51687156542115	TRUE
chr10	74823478	74825977	NM_001370134	KAT6B	promoter_10123	2.10684113226023	5	0	TRUE	4.51687156542115	TRUE
chr10	74823478	74825977	NM_001370143	KAT6B	promoter_10124	2.10684113226023	5	0	TRUE	4.51687156542115	TRUE
chr10	74823478	74825977	NM_001370141	KAT6B	promoter_10125	2.10684113226023	5	0	TRUE	4.51687156542115	TRUE
chr10	74823478	74825977	NM_001370140	KAT6B	promoter_10126	2.10684113226023	5	0	TRUE	4.51687156542115	TRUE
chr10	74823478	74825977	NM_001370138	KAT6B	promoter_10127	2.10684113226023	5	0	TRUE	4.51687156542115	TRUE
chr10	74823478	74825977	NM_001370136	KAT6B	promoter_10128	2.10684113226023	5	0	TRUE	4.51687156542115	TRUE
chr10	74824412	74826911	NM_001256468	KAT6B	promoter_10129					4.51687156542115	TRUE
chr10	74824412	74826911	NM_001256469	KAT6B	promoter_10130					4.51687156542115	TRUE
chr10	74824599	74827098	NM_001370132	KAT6B	promoter_10131					5.61131896396367	TRUE
chr10	74824599	74827098	NM_001370132	KAT6B	promoter_10131					5.61131896396367	TRUE
chr10	74824599	74827098	NM_001370144	KAT6B	promoter_10132					5.61131896396367	TRUE
chr10	74824599	74827098	NM_001370144	KAT6B	promoter_10132					5.61131896396367	TRUE
chr10	74824599	74827098	NM_001370142	KAT6B	promoter_10133					5.61131896396367	TRUE
chr10	74824599	74827098	NM_001370142	KAT6B	promoter_10133					5.61131896396367	TRUE
chr10	74824599	74827098	NM_001370137	KAT6B	promoter_10134					5.61131896396367	TRUE
chr10	74824599	74827098	NM_001370137	KAT6B	promoter_10134					5.61131896396367	TRUE
chr10	74824599	74827098	NM_001370135	KAT6B	promoter_10135					5.61131896396367	TRUE
chr10	74824599	74827098	NM_001370135	KAT6B	promoter_10135					5.61131896396367	TRUE
chr10	74824599	74827098	NM_012330	KAT6B	promoter_10136					5.61131896396367	TRUE
chr10	74824599	74827098	NM_012330	KAT6B	promoter_10136					5.61131896396367	TRUE
chr10	75019732	75022231	NR_145812	SNORD172	promoter_10138	2.3623837153257	10	0	TRUE	4.85114621057475	TRUE
chr10	75108713	75111212	NM_001320843	DUSP13	promoter_10142	2.35332982895914	9	0	TRUE		
chr10	75108692	75111191	NM_001320842	DUSP13	promoter_10144	2.46802378419552	9	0	TRUE		
chr10	75108692	75111191	NM_001007273	DUSP13	promoter_10145	2.46802378419552	9	0	TRUE		
chr10	75108692	75111191	NM_001007272	DUSP13	promoter_10146	2.46802378419552	9	0	TRUE		
chr10	75108692	75111191	NM_001007271	DUSP13	promoter_10147	2.46802378419552	9	0	TRUE		
chr10	75109655	75112154	NM_001174156	SAMD8	promoter_10148	1.9015308562286	5	0	TRUE		
chr10	75109655	75112154	NM_144660	SAMD8	promoter_10149	1.9015308562286	5	0.00667457613531605	TRUE		
chr10	75208153	75210652	NM_001184823	VDAC2	promoter_10150	3.00172683311414	11	0	TRUE	5.43124630621245	TRUE
chr10	75208153	75210652	NM_001184783	VDAC2	promoter_10151	3.00172683311414	11	0	TRUE	5.43124630621245	TRUE
chr10	75208153	75210652	NM_001324089	VDAC2	promoter_10152	3.00172683311414	11	0	TRUE	5.43124630621245	TRUE
chr10	75208153	75210652	NM_001324090	VDAC2	promoter_10153	3.00172683311414	11	0	TRUE	5.43124630621245	TRUE
chr10	75208153	75210652	NM_001324088	VDAC2	promoter_10154	3.00172683311414	11	0	TRUE	5.43124630621245	TRUE
chr10	75208153	75210652	NM_001324087	VDAC2	promoter_10155	3.00172683311414	11	0	TRUE	5.43124630621245	TRUE
chr10	75208153	75210652	NM_003375	VDAC2	promoter_10156	3.00172683311414	11	0	TRUE	5.43124630621245	TRUE
chr10	75235458	75237957	NM_144589	COMTD1	promoter_10157					4.19826229930643	TRUE
chr10	75294382	75296881	NR_038223	ZNF503-AS1	promoter_10159	2.13357018733706	7	0	TRUE		
chr10	75294382	75296881	NR_038224	ZNF503-AS1	promoter_10160	2.13357018733706	7	0	TRUE		
chr10	75294382	75296881	NR_038225	ZNF503-AS1	promoter_10161	2.13357018733706	7	0	TRUE		
chr10	75294382	75296881	NR_038226	ZNF503-AS1	promoter_10162	2.13357018733706	7	0	TRUE		
chr10	75407156	75409655	NR_110304	LOC101929234	promoter_10170	2.17567257099153	7	0	TRUE	5.50569055040292	TRUE
chr10	75429623	75432122	NM_001305581	LRMDA	promoter_10171	1.9165359109113	5	0	TRUE	4.71976431907442	TRUE
chr10	75645508	75648007	NR_131178	LRMDA	promoter_10173	3.30934295994213	17	0	TRUE	6.34265356699269	TRUE
chr1	24111636	24114135	NM_152372	MYOM3	promoter_1019	2.39353157383107	6	0	TRUE		
chr10	78031759	78034258	NM_001026	RPS24	promoter_10199	2.17761869187492	5	0	TRUE		
chr1	1312067	1314566	NR_106785	MIR6727	promoter_102	2.88882018619944	18	0	TRUE		
chr10	78031759	78034258	NM_001142283	RPS24	promoter_10200	2.17761869187492	5	0	TRUE		
chr10	78031759	78034258	NM_001142284	RPS24	promoter_10201	2.17761869187492	5	0	TRUE		
chr10	78031759	78034258	NM_001142282	RPS24	promoter_10202	2.17761869187492	5	0	TRUE		
chr10	78031862	78034361	NM_001142285	RPS24	promoter_10203	2.22555048020805	5	0.00351257171785353	TRUE		
chr10	78031862	78034361	NM_033022	RPS24	promoter_10204	2.22555048020805	5	0	TRUE		
chr10	78265341	78267840	NR_073447	LINC00595	promoter_10206	1.85754164366709	6	0	TRUE		
chr10	79445125	79447624	NM_153367	ZCCHC24	promoter_10212	2.49346492164825	9	0	TRUE	4.9136826128938	TRUE
chr10	80129660	80132159	NR_138551	PLAC9	promoter_10254	2.68459062387427	8	0	TRUE		
chr10	80130729	80133228	NM_001331125	PLAC9	promoter_10255	2.55929893101773	5	0	TRUE		
chr10	80130729	80133228	NM_001012973	PLAC9	promoter_10256	2.55929893101773	5	0	TRUE		
chr10	80205038	80207537	NM_001157	ANXA11	promoter_10257	2.42940414752968	8	0	TRUE	5.31396677410915	TRUE
chr10	80205038	80207537	NM_145869	ANXA11	promoter_10258	2.42940414752968	8	0	TRUE	5.31396677410915	TRUE
chr10	80205309	80207808	NM_001278407	ANXA11	promoter_10259	2.25472041925635	8	0	TRUE	5.31396677410915	TRUE
chr10	80205038	80207537	NM_001278409	ANXA11	promoter_10260	2.42940414752968	8	0	TRUE	5.31396677410915	TRUE
chr10	80205038	80207537	NM_145868	ANXA11	promoter_10261	2.42940414752968	8	0	TRUE	5.31396677410915	TRUE
chr10	80203992	80206491	NM_001278408	ANXA11	promoter_10262					5.31396677410915	TRUE
chr10	80205709	80208208	NR_038464	LINC00857	promoter_10263	2.46339880586536	9	0	TRUE	5.31396677410915	TRUE
chr10	80405828	80408327	NM_001243779	PRXL2A	promoter_10276	1.8587310433969	6	0	TRUE		
chr10	80406485	80408984	NM_001243780	PRXL2A	promoter_10277	1.78118325939086	6	0	TRUE		
chr10	80406550	80409049	NM_001243781	PRXL2A	promoter_10278	1.8234625242717	6	0	TRUE		
chr10	80406550	80409049	NM_032333	PRXL2A	promoter_10279	1.8234625242717	6	0.00351257171785353	TRUE		
chr1	24321039	24323538	NM_021180	GRHL3	promoter_1028	2.36735062868844	9	0	TRUE	4.76768114759451	TRUE
chr10	80411818	80414317	NM_001243778	PRXL2A	promoter_10280	2.25984800156326	11	0	TRUE		
chr10	80411832	80414331	NM_001243782	PRXL2A	promoter_10281	2.25984800156326	11	0	TRUE		
chr10	80452309	80454808	NM_001351267	TSPAN14	promoter_10282	2.74802247819676	8	0	TRUE		
chr10	80452309	80454808	NM_030927	TSPAN14	promoter_10283	2.74802247819676	8	0	TRUE		
chr10	80452309	80454808	NM_001351266	TSPAN14	promoter_10284	2.74802247819676	8	0	TRUE		
chr10	80452309	80454808	NM_001351268	TSPAN14	promoter_10285	2.74802247819676	8	0	TRUE		
chr10	80452309	80454808	NM_001128309	TSPAN14	promoter_10286	2.74802247819676	8	0	TRUE		
chr10	80457284	80459783	NM_001351270	TSPAN14	promoter_10287	2.43556601212302	7	0	TRUE	4.03420968494917	TRUE
chr10	80457284	80459783	NM_001351270	TSPAN14	promoter_10287	2.43556601212302	7	0	TRUE	4.03420968494917	TRUE
chr10	80457284	80459783	NM_001351269	TSPAN14	promoter_10288	2.43556601212302	7	0	TRUE	4.03420968494917	TRUE
chr10	80457284	80459783	NM_001351269	TSPAN14	promoter_10288	2.43556601212302	7	0	TRUE	4.03420968494917	TRUE
chr10	80466240	80468739	NM_001351271	TSPAN14	promoter_10289	2.65250119648141	13	0	TRUE	4.66054443322164	TRUE
chr1	24413273	24415772	NM_001199014	STPG1	promoter_1029	2.45943268519259	17	0	TRUE		
chr10	80466240	80468739	NM_001351272	TSPAN14	promoter_10290	2.65250119648141	13	0	TRUE	4.66054443322164	TRUE
chr10	80535443	80537942	NR_120661	LOC101929574	promoter_10291	2.41984446955158	8	0	TRUE		
chr10	80535901	80538400	NM_207372	SH2D4B	promoter_10292	2.22245950740525	5	0	TRUE		
chr10	80538818	80541317	NM_001145719	SH2D4B	promoter_10293	2.4987783231913	7	0	TRUE		
chr1	24413273	24415772	NM_178122	STPG1	promoter_1030	2.45943268519259	17	0	TRUE		
chr1	24413283	24415782	NM_001199013	STPG1	promoter_1031	2.45943268519259	17	0	TRUE		
chr10	84326588	84329087	NM_001351292	CCSER2	promoter_10319	2.49032538625303	9	0	TRUE		
chr1	24414598	24417097	NM_001199012	STPG1	promoter_1032	2.52105233559815	12	0	TRUE		
