chr	start	end	geneID	geneSymbol	symbol	LTMeanCnt	LTCountValid	LTadjPval	enrichSig	SigPeakValue	ovSig
chr1	28365	30864	NR_036268	MIR1302-11	promoter_10	1.76181880548299	7	0.00510653173873046	TRUE	NA	NA
chr1	23824960	23827459	NM_001166059	HMGCL	promoter_1004	2.25282614664957	8	0	TRUE	NA	NA
chr1	23824930	23827429	NM_000191	HMGCL	promoter_1005	2.20318111034871	7	0	TRUE	NA	NA
chr1	23867791	23870290	NM_000147	FUCA1	promoter_1006	2.09053175896601	5	0	TRUE	NA	NA
chr1	23957827	23960326	NM_017761	PNRC2	promoter_1009	2.17819800479752	7	0	TRUE	NA	NA
chr1	23979828	23982327	NM_054016	SRSF10	promoter_1010	1.87152244157103	6	0	TRUE	NA	NA
chr1	23979828	23982327	NM_006625	SRSF10	promoter_1011	1.87152244157103	6	0	TRUE	NA	NA
chr1	23979828	23982327	NM_001191009	SRSF10	promoter_1012	1.87152244157103	6	0.00510653173873046	TRUE	NA	NA
chr1	23979828	23982327	NR_034035	SRSF10	promoter_1013	1.87152244157103	6	0	TRUE	NA	NA
chr1	23979828	23982327	NM_001191006	SRSF10	promoter_1014	1.87152244157103	6	0	TRUE	NA	NA
chr10	75108713	75111212	NM_001320843	DUSP13	promoter_10142	1.93089142596617	8	0	TRUE	NA	NA
chr10	75108692	75111191	NM_001320842	DUSP13	promoter_10144	1.99002276003932	8	0	TRUE	NA	NA
chr10	75108692	75111191	NM_001007273	DUSP13	promoter_10145	1.99002276003932	8	0	TRUE	NA	NA
chr10	75108692	75111191	NM_001007272	DUSP13	promoter_10146	1.99002276003932	8	0	TRUE	NA	NA
chr10	75108692	75111191	NM_001007271	DUSP13	promoter_10147	1.99002276003932	8	0	TRUE	NA	NA
chr10	75109655	75112154	NM_001174156	SAMD8	promoter_10148	1.47927819170872	5	0	TRUE	NA	NA
chr1	23979828	23982327	NM_001191005	SRSF10	promoter_1015	1.87152244157103	6	0	TRUE	NA	NA
chr1	23979828	23982327	NM_001300936	SRSF10	promoter_1016	1.87152244157103	6	0	TRUE	NA	NA
chr1	23979828	23982327	NM_001300937	SRSF10	promoter_1017	1.87152244157103	6	0	TRUE	NA	NA
chr10	75645508	75648007	NR_131178	LRMDA	promoter_10173	2.55007795897284	8	0	TRUE	NA	NA
chr1	23979828	23982327	NM_001191007	SRSF10	promoter_1018	1.87152244157103	6	0.00510653173873046	TRUE	NA	NA
chr10	78031759	78034258	NM_001026	RPS24	promoter_10199	2.52548319746641	8	0	TRUE	NA	NA
chr10	78031759	78034258	NM_001142283	RPS24	promoter_10200	2.52548319746641	8	0	TRUE	NA	NA
chr10	78031759	78034258	NM_001142284	RPS24	promoter_10201	2.52548319746641	8	0	TRUE	NA	NA
chr10	78031759	78034258	NM_001142282	RPS24	promoter_10202	2.52548319746641	8	0	TRUE	NA	NA
chr10	78031862	78034361	NM_001142285	RPS24	promoter_10203	2.57416065645448	8	0	TRUE	NA	NA
chr10	78031862	78034361	NM_033022	RPS24	promoter_10204	2.57416065645448	8	0	TRUE	NA	NA
chr10	79445125	79447624	NM_153367	ZCCHC24	promoter_10212	1.95523353070727	5	0.00510653173873046	TRUE	NA	NA
chr10	80205038	80207537	NM_001157	ANXA11	promoter_10257	2.10586622988248	5	0	TRUE	NA	NA
chr10	80205038	80207537	NM_145869	ANXA11	promoter_10258	2.10586622988248	5	0	TRUE	NA	NA
chr10	80205309	80207808	NM_001278407	ANXA11	promoter_10259	1.98698163795138	5	0	TRUE	NA	NA
chr10	80205038	80207537	NM_001278409	ANXA11	promoter_10260	2.10586622988248	5	0	TRUE	NA	NA
chr10	80205038	80207537	NM_145868	ANXA11	promoter_10261	2.10586622988248	5	0	TRUE	NA	NA
chr10	80205709	80208208	NR_038464	LINC00857	promoter_10263	1.97927854660714	6	0	TRUE	NA	NA
chr1	24321039	24323538	NM_021180	GRHL3	promoter_1028	1.93848563883131	8	0	TRUE	NA	NA
chr10	80411818	80414317	NM_001243778	PRXL2A	promoter_10280	2.03622545653823	6	0	TRUE	NA	NA
chr10	80411832	80414331	NM_001243782	PRXL2A	promoter_10281	2.03622545653823	6	0	TRUE	NA	NA
chr10	80452309	80454808	NM_001351267	TSPAN14	promoter_10282	2.3005146981088	7	0	TRUE	NA	NA
chr10	80452309	80454808	NM_030927	TSPAN14	promoter_10283	2.3005146981088	7	0	TRUE	NA	NA
chr10	80452309	80454808	NM_001351266	TSPAN14	promoter_10284	2.3005146981088	7	0	TRUE	NA	NA
chr10	80452309	80454808	NM_001351268	TSPAN14	promoter_10285	2.3005146981088	7	0	TRUE	NA	NA
chr10	80452309	80454808	NM_001128309	TSPAN14	promoter_10286	2.3005146981088	7	0	TRUE	NA	NA
chr10	80457284	80459783	NM_001351270	TSPAN14	promoter_10287	1.9453157152237	5	0	TRUE	NA	NA
chr10	80457284	80459783	NM_001351269	TSPAN14	promoter_10288	1.9453157152237	5	0	TRUE	NA	NA
chr10	80466240	80468739	NM_001351271	TSPAN14	promoter_10289	2.13430086892397	8	0	TRUE	NA	NA
chr1	24413273	24415772	NM_001199014	STPG1	promoter_1029	1.68368561654672	6	0.00510653173873046	TRUE	NA	NA
chr10	80466240	80468739	NM_001351272	TSPAN14	promoter_10290	2.13430086892397	8	0	TRUE	NA	NA
chr10	80538818	80541317	NM_001145719	SH2D4B	promoter_10293	2.07556541994004	9	0	TRUE	NA	NA
chr1	24413273	24415772	NM_178122	STPG1	promoter_1030	1.68368561654672	6	0.00510653173873046	TRUE	NA	NA
chr1	24413283	24415782	NM_001199013	STPG1	promoter_1031	1.68368561654672	6	0	TRUE	NA	NA
chr1	24413749	24416248	NM_001322858	NIPAL3	promoter_1034	1.86277709995737	6	0.0094273097826087	TRUE	NA	NA
chr1	24413749	24416248	NM_001322868	NIPAL3	promoter_1035	1.86277709995737	6	0	TRUE	NA	NA
chr1	24413749	24416248	NM_001322866	NIPAL3	promoter_1036	1.86277709995737	6	0.00510653173873046	TRUE	NA	NA
chr1	24413749	24416248	NM_001322864	NIPAL3	promoter_1037	1.86277709995737	6	0	TRUE	NA	NA
