chr	start	end	geneID	geneSymbol	symbol	width	NCmeanCnt	NCsig	NCunique	TCmeanCnt	TCsig	TCunique	LTmeanCnt	LTsig	LTunique
chr1	14361	29370	NR_024540	WASH7P	genebody_1	15009	2.1074708682396	TRUE	TRUE	1.65547568363008			1.68867101249397		
chr1	182387	184878	NR_148357	DDX11L17	genebody_83593	2491	2.96187476246361	TRUE	TRUE	1.82141049488384			1.78922032271324		
chr1	923922	944574	NM_001385640	SAMD11	genebody_88679	20652	2.61364141694325	TRUE	TRUE	1.34478605055458			1.33153430043133		
chr1	923922	944574	NM_001385641	SAMD11	genebody_88680	20652	2.61364141694325	TRUE	TRUE	1.34478605055458			1.33153430043133		
chr1	925730	944574	NM_152486	SAMD11	genebody_25160	18844	2.66024216113221	TRUE	TRUE	1.35552401164764			1.34511757825539		
chr1	944202	959256	NM_015658	NOC2L	genebody_6975	15054	2.30271456626003	TRUE	TRUE	1.41375777812307			1.43235773842911		
chr1	960583	965719	NM_198317	KLHL17	genebody_85563	5136	3.36044396552259	TRUE	TRUE	1.83026044482621			1.5543110702242		
chr1	975197	982093	NM_001291367	PERM1	genebody_16999	6896	2.18181098891829	TRUE	TRUE	1.16533482258872			1.02120847564675		
chr1	975197	982093	NM_001369897	PERM1	genebody_38621	6896	2.18181098891829	TRUE	TRUE	1.16533482258872			1.02120847564675		
chr1	975197	982093	NM_001291366	PERM1	genebody_67782	6896	2.18181098891829	TRUE	TRUE	1.16533482258872			1.02120847564675		
chr1	1033992	1056114	NM_001364727	AGRN	genebody_12695	22122	2.46589293617418	TRUE	TRUE	1.3779745055108			1.23106247217453		
chr1	1211339	1214153	NM_003327	TNFRSF4	genebody_2267	2814	2.31353382161714	TRUE	TRUE	1.38650709949095			1.1195074259304		
chr1	1216930	1232001	NM_016176	SDF4	genebody_47010	15071	2.68426291809173	TRUE	TRUE	1.54156245696232			1.64732278801532		
chr1	1253911	1273854	NM_058167	UBE2J2	genebody_22043	19943	2.52849817288963	TRUE	TRUE	1.70948011256366			1.83432375690365		
chr1	1253911	1273854	NM_194458	UBE2J2	genebody_84881	19943	2.52849817288963	TRUE	TRUE	1.70948011256366			1.83432375690365		
chr1	1292390	1307930	NM_030649	ACAP3	genebody_10440	15540	2.41057766326902	TRUE	TRUE	1.38174961282252			1.25540004018241		
chr1	1308596	1311677	NM_153339	PUSL1	genebody_10322	3081	2.32652854133677	TRUE	TRUE	1.29781411443533			1.49138515982835		
chr1	1311584	1324687	NM_001256456	INTS11	genebody_28582	13103	2.4189122563441	TRUE	TRUE	1.42971694692286			1.5343501312752		
chr1	1311599	1324660	NM_017871	INTS11	genebody_13030	13061	2.4189122563441	TRUE	TRUE	1.42971694692286			1.5343501312752		
chr1	1311599	1324660	NM_001256463	INTS11	genebody_21733	13061	2.4189122563441	TRUE	TRUE	1.42971694692286			1.5343501312752		
chr1	1401908	1407293	NM_017971	MRPL20	genebody_48538	5385	1.83049992320521	TRUE		1.51450485868387			2.19703153201197	TRUE	TRUE
chr1	1401908	1407293	NM_001318485	MRPL20	genebody_69333	5385	1.83049992320521	TRUE		1.51450485868387			2.19703153201197	TRUE	TRUE
chr1	1435689	1442882	NM_199121	VWA1	genebody_52204	7193	2.08228744612667	TRUE	TRUE	1.24020279428284			1.44436003955544		
chr1	1541672	1574863	NM_014188	SSU72	genebody_25807	33191	2.83678075974295	TRUE	TRUE	1.92731602898506			2.2267609980934	TRUE	
chr1	1615499	1630605	NM_001170686	MIB2	genebody_34807	15106	2.55709327493662	TRUE	TRUE	1.40656823962565			1.42931119139549		
