chr	geneName	NC_MeanValue	NC_pVal	NC_adjPval	TC_MeanValue	TC_pVal	TC_adjPval	LT_MeanValue	LT_pVal	LT_adjPval	AllCount	LTUnique	TCUnique	NCUnique
chr1_GL383518v1_alt	GATAD2B	0.522172036971595	0.259	0.437930019120459	0.529190054315581	0.288	0.783018973998595	0.45355805557363	0.488	1	48	FALSE	FALSE	FALSE
chr1_GL383518v1_alt	INTS3	1.23586053644797	0	0	0.738573673744712	0.031	0.160986744966443	0.793452690613364	0.017	0.117108168261741	30	FALSE	FALSE	TRUE
chr1_GL383518v1_alt	LOC343052	1.25857482069026	0	0	0.52359030113182	0.291	0.787922403989152	0.396876917061672	0.65	1	35	FALSE	FALSE	TRUE
chr1_GL383518v1_alt	SLC27A3	1.2229550665528	0	0	0.449105529879091	0.493	1	0.536828778154561	0.272	0.882367885965832	38	FALSE	FALSE	TRUE
chr1_GL383519v1_alt	CLK2	0.690065050044372	0.048	0.094302907198172	0.83772526613088	0.00900000000000001	0.0617100132919806	0.658825065583419	0.073	0.353366124491711	35	FALSE	FALSE	FALSE
chr1_GL383519v1_alt	FAM189B	1.00471438349037	0	0	0.408050991922321	0.629	1	0.218856760132663	0.965	1	37	FALSE	FALSE	TRUE
chr1_GL383519v1_alt	GBA	0.547087364493069	0.113	0.20698721666568	0.43421238970858	0.614	1	0.321539631974925	0.98	1	136	FALSE	FALSE	FALSE
chr1_GL383519v1_alt	GBAP1	0.570701278652066	0.194	0.338357601713062	0.533191082540193	0.279	0.767311977963391	0.30125051844609	0.886	1	35	FALSE	FALSE	FALSE
chr1_GL383519v1_alt	HCN3	0.43756901971019	0.517	0.799643546049673	0.451311894878633	0.483	1	0.33196327900895	0.754	1	20	FALSE	FALSE	FALSE
chr1_GL383519v1_alt	MTX1	0.372656762880422	0.745	1	0.342373271684969	0.822	1	0.296077258401955	0.931	1	44	FALSE	FALSE	FALSE
chr1_GL383519v1_alt	PKLR	0.208335016279292	0.991	1	0.422673666301036	0.61	1	0.377116267777123	0.763	1	51	FALSE	FALSE	FALSE
chr1_GL383519v1_alt	SCAMP3	0.604859182653195	0.101	0.187043080236941	0.297897816322426	0.92	1	0.142684381073058	1	1	46	FALSE	FALSE	FALSE
chr1_GL383520v2_alt	ATP6V1G3	-0.217870517984123	1	1	0.204677083739937	0.956	1	0.0528368938146921	0.999	1	26	FALSE	FALSE	FALSE
chr1_GL383520v2_alt	PTPRC	-0.251111191568073	1	1	0.241430830889552	0.959	1	0.0885878909293763	1	1	33	FALSE	FALSE	FALSE
chr1_KI270713v1_random	LOC102724562	1.37928865813883	0	0	0.442016893049413	0.532	1	0.48624227972003	0.395	1	48	FALSE	FALSE	TRUE
chr1_KI270713v1_random	LOC440570	1.08291954297212	0	0	0.657985080685643	0.0629999999999999	0.276074331020812	0.309267359448828	0.895	1	43	FALSE	FALSE	TRUE
chr1_KI270713v1_random	RNU1-1	0.857501484066623	0	0	0.579421984514077	0.148	0.503434223541049	0.491784418098269	0.378	1	46	FALSE	FALSE	TRUE
chr1_KI270713v1_random	RNU1-2	0.857501484066623	0	0	0.579421984514077	0.166	0.544496184824078	0.491784418098269	0.361	1	46	FALSE	FALSE	TRUE
chr1_KI270713v1_random	RNU1-3	0.857501484066623	0.001	0.00247905486583901	0.579421984514077	0.154	0.517025056947608	0.491784418098269	0.392	1	46	FALSE	FALSE	TRUE
chr1_KI270713v1_random	RNU1-4	0.857501484066623	0	0	0.579421984514077	0.146	0.498823932001325	0.491784418098269	0.372	1	46	FALSE	FALSE	TRUE
chr1_KI270713v1_random	RNVU1-18	0.857501484066623	0.003	0.00704980639283274	0.579421984514077	0.173	0.55968673565381	0.491784418098269	0.371	1	46	FALSE	FALSE	TRUE
chr1_KI270714v1_random	MIR3675	1.15766137978795	0	0	0.516238951914277	0.31	0.820560164200804	0.407484251873984	0.652	1	49	FALSE	FALSE	TRUE
chr1_KI270759v1_alt	KIF26B	0.4488591682491	0.475	0.744466528256026	0.379231380214671	0.721	1	0.418389912347841	0.595	1	38	FALSE	FALSE	FALSE
