chr	start	end	geneID	geneSymbol	symbol	LTMeanCnt	LTCountValid	LTadjPval	enrichSig	SigPeakValue	ovSig
chr10	87095205	87191465	NR_165106	SHLD2	genebody_10001					3.77936481383374	TRUE
chr10	87095205	87191465	NR_165105	SHLD2	genebody_10003					3.77936481383374	TRUE
chr9	2015346	2193620	NM_001289397	SMARCA2	genebody_10005					3.83131851899909	TRUE
chr11	47716493	47767341	NM_001318339	FNBP4	genebody_1001					5.02148065822978	TRUE
chr16	27787527	28063714	NM_001323900	GSG1L	genebody_10011					4.03520132107824	TRUE
chr10	74826599	75032624	NM_001370132	KAT6B	genebody_10049					4.20264039674083	TRUE
chr5_GL339449v2_alt	965643	997985	NM_001364572	GTF2H2	genebody_1007					4.06367525012759	TRUE
chr8	124550769	124728473	NM_001363298	MTSS1	genebody_10070					5.57312775398416	TRUE
chr21	37365572	37515376	NM_001396	DYRK1A	genebody_10073					4.02729865816067	TRUE
chr21	37365572	37515376	NM_001396	DYRK1A	genebody_10073					4.02729865816067	TRUE
chr21	37365572	37515376	NM_001396	DYRK1A	genebody_10073					4.02729865816067	TRUE
chr21	37365572	37515376	NM_001396	DYRK1A	genebody_10073					4.02729865816067	TRUE
chr5_KI270897v1_alt	583734	616118	NM_001364572	GTF2H2	genebody_1008					3.59461090097691	TRUE
chr9	124257916	124352440	NM_001145001	NEK6	genebody_10085	2.1044459622881	227	0	TRUE		
chr10	103088016	103193306	NM_001351187	NT5C2	genebody_1013					4.55347598293145	TRUE
chr10	103088016	103193306	NM_001351187	NT5C2	genebody_1013					4.55347598293145	TRUE
chr10	103088016	103193306	NM_001351186	NT5C2	genebody_1014					4.55347598293145	TRUE
chr10	103088016	103193306	NM_001351186	NT5C2	genebody_1014					4.55347598293145	TRUE
chr11	9839141	9929261	NR_120539	LOC101928008	genebody_10174					4.42730086510152	TRUE
chr2	72175983	72826033	NM_015189	EXOC6B	genebody_10175					4.04740716156773	TRUE
chr11	10308312	10430673	NR_103765	CAND1.11	genebody_10176					3.78055834195701	TRUE
chr11	46396413	46594023	NM_001267783	AMBRA1	genebody_10180					3.7843930341756	TRUE
chr11	46396413	46594023	NM_001267782	AMBRA1	genebody_10181					3.7843930341756	TRUE
chr17	78674047	78782273	NM_001365038	CYTH1	genebody_10191	2.02404684265544	230	0	TRUE	4.25004833399038	TRUE
chr2	241315186	241354026	NM_001349306	SEPTIN2	genebody_10193	1.90398789368553	80	0	TRUE		
chr7	36852905	36985112	NM_001039459	ELMO1	genebody_10209					3.70495425701721	TRUE
chr11	12030874	12061785	NR_135109	LINC02547	genebody_10217					4.71746851561109	TRUE
chr2	69742133	69827112	NM_001153	ANXA4	genebody_10231					4.19987126120959	TRUE
chr4	52659405	52661498	NR_125363	USP46-DT	genebody_10254	2.24312905982277	6	0.00203496217049781	TRUE		
chr10	114431111	114526913	NM_001322895	ABLIM1	genebody_1026					3.49962555298906	TRUE
chr4	94451941	94668222	NM_001256428	PDLIM5	genebody_10306					4.01529142511278	TRUE
chr4	94451941	94668222	NM_001256428	PDLIM5	genebody_10306					4.01529142511278	TRUE
chr4	94451941	94668222	NM_001256428	PDLIM5	genebody_10306					4.01529142511278	TRUE
chr11	66070271	66244744	NM_018026	PACS1	genebody_1033					4.67895558656248	TRUE
chr3	197042559	197298576	NM_001098424	DLG1	genebody_10338					2.90356053578648	TRUE
chr14	24809654	25049889	NM_001351943	STXBP6	genebody_10367					3.67872967533111	TRUE
chr14	24809654	25050297	NM_001351942	STXBP6	genebody_10368					3.67872967533111	TRUE
chr3	183697796	183812624	NM_018023	YEATS2	genebody_1039					4.2386853489023	TRUE
chr10	87095205	87191465	NM_001377161	SHLD2	genebody_1041					3.77936481383374	TRUE
chr10	87095205	87191465	NM_001377160	SHLD2	genebody_1042					3.77936481383374	TRUE
chr16	14302504	14326517	NR_132984	MIR193BHG	genebody_10424	2.0530752342005	54	0	TRUE		
chr16	14302287	14326517	NR_132983	MIR193BHG	genebody_10425	2.0530752342005	54	0	TRUE		
chr10	87095205	87191465	NM_001377159	SHLD2	genebody_1043					3.77936481383374	TRUE
chr10	87095205	87191465	NM_001377158	SHLD2	genebody_1044					3.77936481383374	TRUE
chr5	140245034	140303101	NM_002622	PFDN1	genebody_10462					3.10061339484033	TRUE
chr11	68460751	68615333	NM_001352351	PPP6R3	genebody_10472					4.4709549600065	TRUE
chr11	68460751	68615333	NM_001352351	PPP6R3	genebody_10472					4.4709549600065	TRUE
chr11	68460751	68615333	NM_001352351	PPP6R3	genebody_10472					4.4709549600065	TRUE
chr2	241584404	241637158	NM_015963	THAP4	genebody_10494					5.11502711337816	TRUE
chr16	56989556	57062003	NM_001384967	NLRC5	genebody_10511					4.84865965091957	TRUE
chr17_KI270908v1_alt	732027	895533	NM_015443	KANSL1	genebody_10527					4.85565542425517	TRUE
chr21	43053190	43075945	NM_001354009	CBSL	genebody_10541					4.24793141449886	TRUE
chr1	149338282	149363915	NR_158171	SEC22B2P	genebody_10605					3.00504900886018	TRUE
chr1	213051232	213274774	NM_001349648	RPS6KC1	genebody_10618					3.6933918771544	TRUE
chr13	97222332	97394120	NM_001382670	MBNL2	genebody_10620					3.95429721497823	TRUE
chr13	97222332	97394120	NM_001382672	MBNL2	genebody_10621					3.95429721497823	TRUE
chr4	113451031	113761738	NM_001321580	CAMK2D	genebody_10623					3.78177633922844	TRUE
chr4	113451031	113761738	NM_001321580	CAMK2D	genebody_10623					3.78177633922844	TRUE
chr4	113451031	113761738	NM_001321580	CAMK2D	genebody_10623					3.78177633922844	TRUE
chr4	113451031	113761738	NM_001321580	CAMK2D	genebody_10623					3.78177633922844	TRUE
chr6_KI270797v1_alt	26823	56802	NM_001278533	ERMARD	genebody_10659					3.77007471867062	TRUE
chr10	31805397	31928876	NM_001270695	ARHGAP12	genebody_10661					4.91664419561977	TRUE
chr10	10462549	11336673	NM_001326319	CELF2	genebody_10681					3.87140976003749	TRUE
chr19	5623082	5668478	NM_001201340	SAFB	genebody_10686					5.16656320614135	TRUE
chr10	31805397	31928831	NM_001270696	ARHGAP12	genebody_10692					4.91664419561977	TRUE
chr20	31664457	31722868	NM_138578	BCL2L1	genebody_10713					3.55513005127933	TRUE
chr6	125956769	125980243	NM_138571	HINT3	genebody_10719					4.75546909035677	TRUE
chr17	81250870	81295307	NM_138570	SLC38A10	genebody_10720					5.64083676486277	TRUE
chr5	151771953	151812785	NM_005754	G3BP1	genebody_10743					4.10306599155056	TRUE
chr5	151771953	151812785	NM_005754	G3BP1	genebody_10743					4.10306599155056	TRUE
chr8	38269704	38382271	NM_023034	NSD3	genebody_10776					4.7027674329668	TRUE
chr1	9292893	9369531	NM_025106	SPSB1	genebody_10816	2.37090465040353	206	0	TRUE	6.46624226910619	TRUE
chr1	9292893	9369531	NM_025106	SPSB1	genebody_10816	2.37090465040353	206	0	TRUE	6.46624226910619	TRUE
chr5	57175447	57264679	NM_001127235	GPBP1	genebody_10820					3.93051289769343	TRUE
chr5	57175447	57264679	NM_001127235	GPBP1	genebody_10820					3.93051289769343	TRUE
chr9	128882132	128918038	NM_001127245	LRRC8A	genebody_10822	2.17512799996212	99	0	TRUE		
chr9	128882501	128918038	NM_001127244	LRRC8A	genebody_10823	2.17969853345978	99	0	TRUE		
chr17	59619688	59696956	NM_001288653	CLTC	genebody_10832					4.22330709171394	TRUE
chr18	35041412	35143468	NM_001256420	MAPRE2	genebody_10838					4.40927605337728	TRUE
chr10	10462549	11336673	NM_001326318	CELF2	genebody_10846					3.87140976003749	TRUE
chr19	53869390	53876435	NM_001020821	MYADM	genebody_10853	2.4740398812094	28	0	TRUE		
chr19	53866370	53876435	NM_001020820	MYADM	genebody_10854	2.27359531477748	29	0	TRUE		
chr19	53867864	53876435	NM_001020819	MYADM	genebody_10855	2.35572592943892	28	0	TRUE		
chr4	82818508	82891280	NM_001077208	SEC31A	genebody_10858					6.64614775185227	TRUE
chr7	101816006	102258233	NM_001202543	CUX1	genebody_10867	1.95178995176925	917	0	TRUE	4.50137961281858	TRUE
chr7	101816006	102258233	NM_001202543	CUX1	genebody_10867	1.95178995176925	917	0	TRUE	4.50137961281858	TRUE
chr7	101816006	102258233	NM_001202543	CUX1	genebody_10867	1.95178995176925	917	0	TRUE	4.50137961281858	TRUE
chr7	101816006	102258233	NM_001202543	CUX1	genebody_10867	1.95178995176925	917	0	TRUE	4.50137961281858	TRUE
chr3	139357590	139389680	NR_023350	COPB2	genebody_10875					4.06947880979694	TRUE
chr19	44846296	44889223	NM_001042724	NECTIN2	genebody_10883	1.92902480340573	86	0	TRUE		
chr2	54972190	55051272	NM_001321859	RTN4	genebody_10887					4.08613052627074	TRUE
chr2	54972190	55050598	NM_001321860	RTN4	genebody_10890					4.08613052627074	TRUE
chr14	67819778	68478093	NM_001321817	RAD51B	genebody_10894					3.50929543832547	TRUE
chr14	67819778	68478093	NM_001321817	RAD51B	genebody_10894					3.50929543832547	TRUE
chr1	197552259	197775480	NM_144977	DENND1B	genebody_10927					3.86342506635953	TRUE
chr10	114431111	114526913	NM_001352443	ABLIM1	genebody_10944					3.49962555298906	TRUE
chr15	65659122	65792293	NM_001376920	DENND4A	genebody_10950					4.43136311047208	TRUE
chr10	6202931	6235532	NM_001323017	PFKFB3	genebody_10957					5.10614142404035	TRUE
chr18	3247481	3256237	NM_001303048	MYL12A	genebody_10984	2.16255609592193	22	0	TRUE		
chr8	737627	1708476	NM_001346810	DLGAP2	genebody_10987					4.89090411848822	TRUE
chr1	203795622	203854124	NM_001350264	ZC3H11A	genebody_11020					4.02863968963368	TRUE
chr2	70224423	70248628	NM_001351519	TIA1	genebody_11030					5.09861223882565	TRUE
chr2	70216671	70248793	NM_001351518	TIA1	genebody_11031					5.09861223882565	TRUE
chr7	66654566	66811461	NM_001367727	RABGEF1	genebody_11046					4.50769100579055	TRUE
chr7	66654566	66811461	NM_001367727	RABGEF1	genebody_11046					4.50769100579055	TRUE
chr7	66654566	66811461	NM_001367727	RABGEF1	genebody_11046					4.50769100579055	TRUE
chr7	66654566	66811461	NM_001367726	RABGEF1	genebody_11047					4.50769100579055	TRUE
chr7	66654566	66811461	NM_001367726	RABGEF1	genebody_11047					4.50769100579055	TRUE
chr7	66654566	66811461	NM_001367726	RABGEF1	genebody_11047					4.50769100579055	TRUE
chr2	25377242	25673647	NM_001351387	DTNB	genebody_1106					4.21654933173431	TRUE
chr11	57712522	57819180	NR_037646	TMX2-CTNND1	genebody_11078					4.75262973426527	TRUE
chr11	57712522	57819180	NR_037646	TMX2-CTNND1	genebody_11078					4.75262973426527	TRUE
chr2	124025286	124921218	NM_001367498	CNTNAP5	genebody_11084					4.25985256446591	TRUE
chr19	1407585	1435683	NM_001352033	DAZAP1	genebody_11095	2.25945448516216	75	0	TRUE		
chr1	42176547	42335235	NM_014947	FOXJ3	genebody_11109					4.11126363353505	TRUE
chr3	197042559	197298135	NM_001366210	DLG1	genebody_11115					2.90356053578648	TRUE
chr1	203795622	203854124	NM_001376366	ZC3H11A	genebody_11129					4.02863968963368	TRUE
chr3	197042559	197299272	NM_001290983	DLG1	genebody_11136					2.90356053578648	TRUE
chr2	149587357	149848234	NR_110240	MMADHC-DT	genebody_11156					3.14427959567689	TRUE
chr5	138252379	138274621	NM_001496	GFRA3	genebody_11161					3.74621798024129	TRUE
chr21	29077113	29175887	NM_001286634	MAP3K7CL	genebody_11165					4.64202633826279	TRUE
chr1	65792509	66374579	NM_001037341	PDE4B	genebody_11204					3.38265176448618	TRUE
chr10	71816297	71851251	NM_001042465	PSAP	genebody_11216	2.14167776372299	91	0	TRUE		
chr19	41376532	41384082	NM_001098823	TMEM91	genebody_11226	1.74542108583236	18	0	TRUE		
chr19	41376532	41384082	NM_001098822	TMEM91	genebody_11227	1.74542108583236	18	0	TRUE		
chr20	32359064	32439319	NM_001363734	ASXL1	genebody_11241					4.68576487485122	TRUE
chr5	74640022	74721288	NM_001292004	HEXB	genebody_11291					3.5874481806531	TRUE
chr2	159712505	159768573	NM_001376254	MARCHF7	genebody_1130					4.61727632456536	TRUE
chr9	33921692	34048887	NM_001370066	UBAP2	genebody_11317					3.81684437273158	TRUE
chr9	33921692	34048887	NM_001370064	UBAP2	genebody_11319					3.81684437273158	TRUE
chr3	11556068	11582356	NM_001128220	VGLL4	genebody_11324	2.13447084659255	70	0	TRUE		
chr4	113451031	113761738	NM_001321584	CAMK2D	genebody_11331					3.78177633922844	TRUE
chr4	113451031	113761738	NM_001321584	CAMK2D	genebody_11331					3.78177633922844	TRUE
chr4	113451031	113761738	NM_001321584	CAMK2D	genebody_11331					3.78177633922844	TRUE
chr4	113451031	113761738	NM_001321584	CAMK2D	genebody_11331					3.78177633922844	TRUE
chr12	122503453	122526936	NR_036435	RSRC2	genebody_11346	1.91812409753376	53	0	TRUE		
chr4	88007634	88077777	NM_000297	PKD2	genebody_11361					3.35639628241735	TRUE
chr15	78921059	78945046	NM_004390	CTSH	genebody_11369	1.87992651804024	48	0	TRUE		
chr4	40810026	41214542	NM_001330656	APBB2	genebody_11423					3.54944278680007	TRUE
chr4	40810026	41214542	NM_001330656	APBB2	genebody_11423					3.54944278680007	TRUE
chr4	40810026	41214542	NM_001330656	APBB2	genebody_11423					3.54944278680007	TRUE
chr12	53006455	53042215	NM_001330654	EIF4B	genebody_11424	1.94165996117096	75	0	TRUE		
chr7	14145048	14974858	NM_001350722	DGKB	genebody_11426					4.23665253648603	TRUE
chr3	23203326	23591794	NM_152653	UBE2E2	genebody_11443					4.06409152646803	TRUE
chr3	23203326	23591794	NM_152653	UBE2E2	genebody_11443					4.06409152646803	TRUE
chr15	85380602	85749355	NM_006738	AKAP13	genebody_1146					5.15028480473883	TRUE
chr15	85380602	85749355	NM_006738	AKAP13	genebody_1146					5.15028480473883	TRUE
chr3	124761948	124887684	NM_001354765	ITGB5	genebody_11492					5.57810609046821	TRUE
chr3	124761948	124901411	NM_001354764	ITGB5	genebody_11493					5.57810609046821	TRUE
chr4	2843843	2930062	NM_001354762	ADD1	genebody_11494					4.40787081196455	TRUE
chr12	68610898	68671901	NM_015646	RAP1B	genebody_11509	1.98801916434041	131	0	TRUE	4.96827170956737	TRUE
chr12	68610898	68671901	NM_015646	RAP1B	genebody_11509	1.98801916434041	131	0	TRUE	4.96827170956737	TRUE
chr12	68610898	68671901	NM_015646	RAP1B	genebody_11509	1.98801916434041	131	0	TRUE	4.96827170956737	TRUE
chr6	26521705	26527384	NR_026790	HCG11	genebody_11532					4.21723448009468	TRUE
chr14	21209135	21269479	NM_031314	HNRNPC	genebody_11546	2.35827717842378	229	0	TRUE	4.94208835772697	TRUE
chr14	21209135	21269479	NM_031314	HNRNPC	genebody_11546	2.35827717842378	229	0	TRUE	4.94208835772697	TRUE
chr14	21209135	21269479	NM_031314	HNRNPC	genebody_11546	2.35827717842378	229	0	TRUE	4.94208835772697	TRUE
chr14	21209135	21269479	NM_031314	HNRNPC	genebody_11546	2.35827717842378	229	0	TRUE	4.94208835772697	TRUE
chr10	31319215	31529804	NM_001323647	ZEB1	genebody_11569					3.68102002739314	TRUE
chr11	47465936	47553132	NM_001025596	CELF1	genebody_1157	2.01101527328505	187	0	TRUE	4.04766175014883	TRUE
chr4	145482333	145559173	NM_001354816	SMAD1	genebody_11587					3.93991567113494	TRUE
chr11	66616581	66646473	NM_001198845	RBM14-RBM4	genebody_11640	2.1369867476718	78	0	TRUE		
chr8	47260877	47736001	NM_001352937	SPIDR	genebody_11653					4.63837034948226	TRUE
chr10	11017929	11336673	NM_006561	CELF2	genebody_11667					3.87140976003749	TRUE
chr12	14365631	14502935	NM_018179	ATF7IP	genebody_11676					4.40021766307501	TRUE
chr12	14365631	14502935	NM_018179	ATF7IP	genebody_11676					4.40021766307501	TRUE
chr12	14365631	14502935	NM_018179	ATF7IP	genebody_11676					4.40021766307501	TRUE
chr2	164680187	164842076	NM_001278458	COBLL1	genebody_11678					3.41984322891014	TRUE
chr19	53869390	53876435	NM_001020818	MYADM	genebody_11722	2.4740398812094	28	0	TRUE		
chr1	226631689	226739175	NM_002221	ITPKB	genebody_11761					3.97566548144843	TRUE
chr11	57761801	57819540	NM_001085459	CTNND1	genebody_11786					4.75262973426527	TRUE
chr11	57761801	57819540	NM_001085459	CTNND1	genebody_11786					4.75262973426527	TRUE
chr4	102501358	102617302	NM_001165412	NFKB1	genebody_11788					4.70547752088648	TRUE
chr11	57761801	57819540	NM_001085467	CTNND1	genebody_11791	1.93284894268751	128	0	TRUE	4.75262973426527	TRUE
chr11	57761801	57819540	NM_001085467	CTNND1	genebody_11791	1.93284894268751	128	0	TRUE	4.75262973426527	TRUE
chr16	3725054	3880120	NM_001079846	CREBBP	genebody_11796	2.09701985472475	375	0	TRUE	5.0626902859779	TRUE
chr19	19385842	19508932	NM_001384529	GATAD2A	genebody_11797					4.67208745822431	TRUE
chr19	19385842	19508932	NM_001384529	GATAD2A	genebody_11797					4.67208745822431	TRUE
chr10	103088016	103193306	NM_012229	NT5C2	genebody_11815					4.55347598293145	TRUE
chr10	103088016	103193306	NM_012229	NT5C2	genebody_11815					4.55347598293145	TRUE
chr2	215360864	215436068	NM_001365519	FN1	genebody_11839					5.32037860643197	TRUE
chr2	215360864	215436068	NM_001365519	FN1	genebody_11839					5.32037860643197	TRUE
chr5	70415337	70450348	NM_001376001	GTF2H2C	genebody_11842					4.12041832308841	TRUE
chr5	57173947	57264679	NM_001331037	GPBP1	genebody_11846					3.93051289769343	TRUE
chr5	57173947	57264679	NM_001331037	GPBP1	genebody_11846					3.93051289769343	TRUE
chr6	4776403	4955544	NM_001368127	CDYL	genebody_1186					3.88654090775167	TRUE
chr6	4776403	4955544	NM_001368126	CDYL	genebody_1187					3.88654090775167	TRUE
chr13	46125922	46182177	NM_002298	LCP1	genebody_11880					3.97498506746356	TRUE
chr14	73275209	73458580	NM_001005745	NUMB	genebody_11915					3.87896034599044	TRUE
chr12	64610494	64697564	NM_178169	RASSF3	genebody_11919					4.71200960014889	TRUE
chr8	140657899	141001282	NM_001352745	PTK2	genebody_11935					5.26928588686084	TRUE
chr1	149390637	149465302	NM_001364013	NOTCH2NLC	genebody_11951	1.73191742149663	150	0	TRUE	3.93609810913992	TRUE
chr1	149390637	149465302	NM_001364013	NOTCH2NLC	genebody_11951	1.73191742149663	150	0	TRUE	3.93609810913992	TRUE
chr1	149390637	149465302	NM_001364013	NOTCH2NLC	genebody_11951	1.73191742149663	150	0	TRUE	3.93609810913992	TRUE
chr1	149390637	149465302	NM_001364013	NOTCH2NLC	genebody_11951	1.73191742149663	150	0	TRUE	3.93609810913992	TRUE
chr1	149390620	149471833	NM_001364012	NOTCH2NLC	genebody_11953					3.93609810913992	TRUE
chr1	149390620	149471833	NM_001364012	NOTCH2NLC	genebody_11953					3.93609810913992	TRUE
chr1	149390620	149471833	NM_001364012	NOTCH2NLC	genebody_11953					3.93609810913992	TRUE
chr1	149390620	149471833	NM_001364012	NOTCH2NLC	genebody_11953					3.93609810913992	TRUE
chr7	154305158	154894285	NM_001936	DPP6	genebody_11963					4.44593641163208	TRUE
chr1	198156997	198322418	NM_133494	NEK7	genebody_11977					4.09483517525262	TRUE
chr2	200488960	200510068	NM_001321548	KCTD18	genebody_11981					3.67741363063867	TRUE
chr2	200488960	200510068	NM_001321548	KCTD18	genebody_11981					3.67741363063867	TRUE
chr12	45919130	45990574	NM_004719	SCAF11	genebody_11983					4.23897241086473	TRUE
chr15	42495633	42533058	NM_003825	SNAP23	genebody_11991					4.35976349015459	TRUE
chr10	63133246	63155031	NM_001282405	NRBF2	genebody_11994	2.00368367562651	49	0	TRUE		
chr7	23504781	23532041	NM_001282758	TRA2A	genebody_12005	1.92164570655483	55	0	TRUE		
chr3	114314515	115100308	NM_001348805	ZBTB20	genebody_12036					2.70551362140529	TRUE
chr3	114314515	115147288	NM_001348803	ZBTB20	genebody_12037					2.70551362140529	TRUE
chr12	32502162	32582955	NM_001384131	FGD4	genebody_12064					3.8916953900914	TRUE
chr15	90529922	90645345	NM_022769	CRTC3	genebody_1211					4.43682327255736	TRUE
chr13	100089092	100530434	NR_148029	PCCA	genebody_12113					5.04651028852171	TRUE
chr13	100089092	100530434	NR_148029	PCCA	genebody_12113					5.04651028852171	TRUE
chr5	115841934	115914081	NM_001318091	AP3S1	genebody_12116					3.26255854184923	TRUE
chr19	4043302	4065529	NM_001317990	ZBTB7A	genebody_12118					6.80391516100346	TRUE
chr5	65926574	66082544	NM_018695	ERBIN	genebody_12180					3.11653795258181	TRUE
chr8	28890707	29053270	NM_001324390	HMBOX1	genebody_12205					3.60211446636594	TRUE
chr8	28890394	29053262	NM_001324389	HMBOX1	genebody_12206					3.60211446636594	TRUE
chr8	28891313	29053262	NM_001324388	HMBOX1	genebody_12208					3.60211446636594	TRUE
chr4	165210018	165323156	NM_001161521	KLHL2	genebody_1221					3.74606717965329	TRUE
chr5	10679229	10761234	NM_004394	DAP	genebody_12239					4.88184477125147	TRUE
chr19	11089462	11133820	NM_001195798	LDLR	genebody_12254	2.20944995018274	127	0	TRUE	6.82754750166986	TRUE
chr14	69767141	69772005	NM_006925	SRSF5	genebody_12260					5.43135485959925	TRUE
chr11	95066876	95071224	NR_103726	SRSF8	genebody_12266					4.0263762497674	TRUE
chr1	203795622	203854124	NM_001376343	ZC3H11A	genebody_1227					4.02863968963368	TRUE
chr11	47465936	47524704	NM_001376369	CELF1	genebody_12279					4.04766175014883	TRUE
chr1	203795622	203854124	NM_001376342	ZC3H11A	genebody_1228					4.02863968963368	TRUE
chr1	203795622	203854124	NM_001376367	ZC3H11A	genebody_12280					4.02863968963368	TRUE
chr1	203795622	203854124	NM_001376341	ZC3H11A	genebody_1229					4.02863968963368	TRUE
chr2	40097269	40452090	NM_001351486	SLC8A1	genebody_1231					4.39292915034159	TRUE
chr2	40097269	40451684	NM_001351485	SLC8A1	genebody_1232					4.39292915034159	TRUE
chr2	54972190	55137831	NM_001321904	RTN4	genebody_12329					4.08613052627074	TRUE
chr8	13083360	13604620	NM_001348082	DLC1	genebody_12344					4.12653085765111	TRUE
chr8	13083360	13604620	NM_001348082	DLC1	genebody_12344					4.12653085765111	TRUE
chr8	13083360	13604620	NM_001348082	DLC1	genebody_12344					4.12653085765111	TRUE
chr1	150364110	150476565	NM_001297673	RPRD2	genebody_12361					4.71758308239727	TRUE
chr10	17644150	17716822	NM_001324282	STAM	genebody_12385					4.65277324963002	TRUE
chr1	59297093	59762727	NM_001350795	FGGY	genebody_12386					3.6558455410203	TRUE
chr2	45651674	46187990	NM_005400	PRKCE	genebody_1240					3.85721827540587	TRUE
chr5_KI270897v1_alt	581058	616085	NM_001375998	GTF2H2C	genebody_12403					3.59461090097691	TRUE
chr17	41976420	42017697	NR_029431	DNAJC7	genebody_12406	1.92353750438498	89	0	TRUE	4.63152275410454	TRUE
chr16	2133118	2133204	NR_039741	MIR4516	genebody_12433	2.86586087138917	1	0	TRUE		
chr20	35701346	35742260	NR_040724	RBM39	genebody_12437	2.05782953508325	100	0	TRUE		
chr20	35701346	35742260	NR_040723	RBM39	genebody_12438	2.05782953508325	100	0	TRUE		
chr20	35701346	35742260	NR_040722	RBM39	genebody_12439	2.05782953508325	100	0	TRUE		
chr12	64610494	64697564	NR_040718	RASSF3	genebody_12441					4.71200960014889	TRUE
chr14	35122551	35277622	NM_014672	PRORP	genebody_12451					3.18726556519237	TRUE
chr7	157138925	157269370	NM_014671	UBE3C	genebody_12452					4.82604669994316	TRUE
chr7	157138925	157269370	NM_014671	UBE3C	genebody_12452					4.82604669994316	TRUE
chr1	23304689	23344284	NM_005826	HNRNPR	genebody_12458					4.3358046788182	TRUE
