chr	geneName	NC_MeanValue	NC_pVal	NC_adjPval	TC_MeanValue	TC_pVal	TC_adjPval	LT_MeanValue	LT_pVal	LT_adjPval	AllCount	LTUnique	TCUnique	NCUnique
chr1_GL383518v1_alt	GATAD2B	0.551583166207273	0.00900000000000001	0.0179297600619195	0.425565864443724	0.799	1	0.38867181406077	0.965	1	426	FALSE	FALSE	FALSE
chr1_GL383518v1_alt	INTS3	0.535404595051961	0.002	0.00416238797924669	0.453058423613616	0.546	1	0.422332252960464	0.885	1	768	FALSE	FALSE	FALSE
chr1_GL383518v1_alt	LOC343052	0.80533484695086	0.011	0.0217737118687516	0.417179771587197	0.59	1	0.209678178690894	0.978	1	37	FALSE	FALSE	TRUE
chr1_GL383518v1_alt	SLC27A3	1.42885671688544	0	0	0.568399539432411	0.108	0.346144650824945	0.345592739080949	0.9	1	81	FALSE	FALSE	TRUE
chr1_GL383519v1_alt	CLK2	0.703072125431827	0	0	0.346884572325026	0.979	1	0.313690777190926	0.997	1	188	FALSE	FALSE	TRUE
chr1_GL383519v1_alt	FAM189B	0.737405147981371	0	0	0.453448192738049	0.525	1	0.351478893794587	0.954	1	150	FALSE	FALSE	TRUE
chr1_GL383519v1_alt	GBA	0.357311874060113	0.971	1	0.383050461386281	0.912	1	0.50043560080722	0.234	0.766118083527666	207	FALSE	FALSE	FALSE
chr1_GL383519v1_alt	GBAP1	0.419064052250501	0.775	1	0.445736105534935	0.56	1	0.486922633972158	0.294	0.91447915407855	214	FALSE	FALSE	FALSE
chr1_GL383519v1_alt	HCN3	0.448444082596868	0.564	0.892660415065334	0.384291089874017	0.911	1	0.233969812189802	1	1	199	FALSE	FALSE	FALSE
chr1_GL383519v1_alt	MTX1	0.639286338880331	0.038	0.0717073558162269	0.340820416243659	0.881	1	0.292138694972759	0.962	1	67	FALSE	FALSE	FALSE
chr1_GL383519v1_alt	PKLR	0.539344449966811	0.0590000000000001	0.109239479678696	0.365011843909192	0.959	1	0.31548817532841	0.997	1	223	FALSE	FALSE	FALSE
chr1_GL383519v1_alt	SCAMP3	0.676474252898906	0.005	0.0101368559238595	0.443653783998772	0.549	1	0.387132366253124	0.819	1	109	FALSE	FALSE	TRUE
chr1_GL383520v2_alt	ATP6V1G3	-0.0467733051128603	1	1	0.170237108942008	1	1	0.246980295023238	1	1	173	FALSE	FALSE	FALSE
chr1_GL383520v2_alt	PTPRC	0.0878682052559123	1	1	0.368927174029012	1	1	0.393723697394831	0.996	1	1076	FALSE	FALSE	FALSE
chr1_KI270713v1_random	LOC102724562	1.40041705267361	0	0	0.465795448830597	0.438	1	0.393856389588976	0.687	1	51	FALSE	FALSE	TRUE
chr1_KI270713v1_random	LOC440570	1.91707377137124	0	0	0.798366029069014	0	0	0.484456196304295	0.404	1	64	FALSE	FALSE	TRUE
chr1_KI270713v1_random	RNU1-1	-0.194257704197804	0.997	1	0.043914153097948	0.855	1	0.280828943218424	0.6	1	4	FALSE	FALSE	FALSE
chr1_KI270713v1_random	RNU1-2	-0.194257704197804	0.996	1	0.043914153097948	0.854	1	0.280828943218424	0.636	1	4	FALSE	FALSE	FALSE
chr1_KI270713v1_random	RNU1-3	-0.194257704197804	0.996	1	0.043914153097948	0.868	1	0.280828943218424	0.604	1	4	FALSE	FALSE	FALSE
chr1_KI270713v1_random	RNU1-4	-0.194257704197804	0.996	1	0.043914153097948	0.873	1	0.280828943218424	0.596	1	4	FALSE	FALSE	FALSE
chr1_KI270713v1_random	RNVU1-18	-0.194257704197804	0.997	1	0.043914153097948	0.868	1	0.280828943218424	0.623	1	4	FALSE	FALSE	FALSE
chr1_KI270714v1_random	MIR3675	1.47116367552204	0.0639999999999999	0.118121780699133	0.043914153097948	0.73	1	-0.0484929059203001	0.894	1	2	FALSE	FALSE	FALSE
chr1_KI270759v1_alt	KIF26B	0.378504092523407	1	1	0.400568726612874	1	1	0.413185810758389	1	1	5900	FALSE	FALSE	FALSE
chr1_KI270761v1_alt	OR2T1	-0.190228609545099	1	1	0.043914153097948	0.961	1	0.116168018649062	0.898	1	8	FALSE	FALSE	FALSE
chr1_KI270761v1_alt	OR2T2	-0.00163567978055079	0.997	1	0.204607116279106	0.887	1	-0.0484929059203001	1	1	14	FALSE	FALSE	FALSE
chr1_KI270761v1_alt	OR2T3	0.034085831482651	0.948	1	0.1211850220568	0.872	1	0.139691007873257	0.854	1	7	FALSE	FALSE	FALSE
chr1_KI270761v1_alt	OR2T4	0.0447534522840949	0.995	1	0.178991635183165	0.93	1	-0.0484929059203001	1	1	17	FALSE	FALSE	FALSE
chr1_KI270761v1_alt	OR2T5	-0.156436187700641	1	1	0.214523080997142	0.966	1	0.322696479858733	0.837	1	31	FALSE	FALSE	FALSE
chr1_KI270761v1_alt	OR2T6	-0.0982555185441445	0.998	1	0.241508186768472	0.793	1	0.244237626647455	0.763	1	9	FALSE	FALSE	FALSE
chr1_KI270761v1_alt	OR2T7	0.106598945834313	0.976	1	0.307230357045382	0.737	1	0.125494259311981	0.961	1	13	FALSE	FALSE	FALSE
chr1_KI270762v1_alt	HES5	0.592995897393122	0.226	0.38849410062333	0.463719297076713	0.435	1	0.0110290190275857	0.997	1	19	FALSE	FALSE	FALSE
chr1_KI270762v1_alt	LOC100996583	0.695395195900945	0	0	0.534857942521089	0.039	0.143832	0.397967531974723	0.922	1	345	FALSE	FALSE	FALSE
chr1_KI270762v1_alt	MMEL1	0.281062758005662	1	1	0.247868747110098	1	1	0.11756200384092	1	1	561	FALSE	FALSE	FALSE
chr1_KI270762v1_alt	PANK4	1.06939797608583	0	0	0.386376952908264	0.946	1	0.250256563851761	1	1	303	FALSE	FALSE	TRUE
chr1_KI270762v1_alt	PLCH2	0.354948398703818	0.999	1	0.185266219017366	1	1	0.0378770577497483	1	1	555	FALSE	FALSE	FALSE
chr1_KI270762v1_alt	PRXL2B	0.990842346535433	0	0	0.481320883400604	0.388	0.954456514813635	0.157008512028776	1	1	82	FALSE	FALSE	TRUE
chr1_KI270762v1_alt	TNFRSF14	1.17551672932998	0	0	0.38669026529289	0.895	1	0.0962609871721578	1	1	178	FALSE	FALSE	TRUE
